MAST_ISSR_NUM	DFLT_DATETIME	COHORT_REENTRY_DATETIME
3001	1990-08-09 00:00:00	1992-01-04 00:00:00
3027	1932-01-14 00:00:00	3000-01-12 00:00:00
3037	2000-01-20 00:00:00	2000-11-20 00:00:00
3040	1991-05-16 00:00:00	1995-12-16 00:00:00
3041	1985-10-05 00:00:00	1987-12-13 00:00:00
3043	2008-01-18 00:00:00	2009-06-27 00:00:00
3052	1950-01-11 00:00:00	3000-01-09 00:00:00
3060	2012-01-10 00:00:00	2013-08-11 00:00:00
3068	1919-05-05 00:00:00	3000-01-04 00:00:00
3079	1997-09-20 00:00:00	2001-01-03 00:00:00
3081	2004-04-17 00:00:00	2004-04-23 00:00:00
3083	1991-04-02 00:00:00	1992-09-03 00:00:00
3084	1916-05-16 00:00:00	1925-09-15 00:00:00
3084	1934-06-11 00:00:00	1936-09-15 00:00:00
3086	2002-02-28 00:00:00	2003-08-06 00:00:00
3087	2014-08-13 00:00:00	2015-08-12 00:00:00
3088	1919-05-01 00:00:00	1920-07-01 00:00:00
3097	1997-10-14 00:00:00	2002-10-13 00:00:00
3100	2012-03-14 00:00:00	2012-03-20 00:00:00
3100	2013-03-10 00:00:00	2013-04-22 00:00:00
3100	2016-05-08 00:00:00	2016-07-21 00:00:00
3101	2016-08-22 00:00:00	2016-08-28 00:00:00
3101	2017-11-12 00:00:00	2017-11-19 00:00:00
3101	2018-12-16 00:00:00	2018-12-23 00:00:00
3109	1920-04-30 00:00:00	1921-04-30 00:00:00
3109	1932-02-01 00:00:00	2999-12-30 00:00:00
3111	2010-03-14 00:00:00	2016-04-06 00:00:00
3118	2012-03-12 00:00:00	2012-03-18 00:00:00
3128	1919-04-25 00:00:00	2999-12-25 00:00:00
3147	1919-05-09 00:00:00	3000-01-08 00:00:00
3149	1982-04-19 00:00:00	1984-08-17 00:00:00
3151	2015-05-06 00:00:00	2015-05-13 00:00:00
3151	2016-04-15 00:00:00	2016-10-06 00:00:00
3153	2017-11-17 00:00:00	2018-11-24 00:00:00
3154	2016-06-16 00:00:00	2016-08-10 00:00:00
3166	1989-11-06 00:00:00	1994-11-05 00:00:00
3184	1920-06-13 00:00:00	3000-01-11 00:00:00
3187	1998-01-13 00:00:00	1999-02-01 00:00:00
3195	1999-05-09 00:00:00	2004-05-08 00:00:00
3202	2000-04-15 00:00:00	2000-12-28 00:00:00
3204	1935-11-12 00:00:00	3000-01-10 00:00:00
3209	1915-06-17 00:00:00	1920-04-16 00:00:00
3216	2008-11-14 00:00:00	2009-11-12 00:00:00
3227	2000-03-14 00:00:00	2001-08-27 00:00:00
3230	2010-02-15 00:00:00	2015-02-14 00:00:00
3241	1921-09-08 00:00:00	3000-01-07 00:00:00
3276	1948-06-24 00:00:00	3000-01-13 00:00:00
3278	2022-02-23 00:00:00	2023-02-22 00:00:00
3281	1945-06-03 00:00:00	2999-12-21 00:00:00
3298	2018-05-12 00:00:00	2018-05-19 00:00:00
3307	2000-04-17 00:00:00	2001-08-12 00:00:00
3309	2017-10-29 00:00:00	2017-11-04 00:00:00
3312	1988-05-30 00:00:00	1988-09-19 00:00:00
3316	1932-10-10 00:00:00	3000-01-08 00:00:00
3320	1998-10-23 00:00:00	1999-10-22 00:00:00
3323	1938-01-14 00:00:00	3000-01-12 00:00:00
3340	2020-07-24 00:00:00	2020-07-30 00:00:00
3340	2021-01-08 00:00:00	2999-12-24 00:00:00
3343	1933-09-22 00:00:00	2999-12-21 00:00:00
3353	1922-07-06 00:00:00	3000-01-05 00:00:00
3357	2014-06-02 00:00:00	2014-06-08 00:00:00
3357	2018-04-02 00:00:00	2018-04-09 00:00:00
3361	1924-10-25 00:00:00	2999-12-24 00:00:00
3367	1924-07-09 00:00:00	1932-07-09 00:00:00
3371	1920-06-24 00:00:00	1921-06-24 00:00:00
3386	1922-09-10 00:00:00	3000-01-09 00:00:00
